,overall_sentiment_score,BTC_sentiment,ETH_sentiment,BTC_relevance,ETH_relevance,timestamp
338,-0.155819,-0.034397,-0.034397,0.067556,0.067556,2022-03-09 19:09:00
339,0.098592,0.178553,,0.583156,,2022-03-09 19:19:00
340,-0.109146,-0.3246,0.156984,0.339434,0.173791,2022-03-09 19:23:00
341,0.023855,-0.056595,-0.056595,0.296463,0.296463,2022-03-09 19:25:00
342,-0.229381,-0.063147,,0.052357,,2022-03-09 19:28:00
343,0.025405,0.004985,,0.114191,,2022-03-09 19:47:00
344,0.048278,0.008797,0.003759,0.117659,0.05899,2022-03-09 19:50:00
345,-0.095764,-0.011643,,0.172548,,2022-03-09 19:58:00
346,-0.001274,0.009421,,0.687553,,2022-03-09 20:07:00
347,0.018913,0.004481,,0.166628,,2022-03-09 21:05:00
348,-0.211063,0.012958,,0.049302,,2022-03-09 21:16:00
349,-0.026602,-0.081515,-0.081515,0.043162,0.043162,2022-03-09 21:34:00
350,-0.075232,0.098944,,0.194632,,2022-03-09 21:40:00
351,0.138299,0.34678,,0.256179,,2022-03-09 21:42:00
352,-0.11167,-0.159827,,0.154455,,2022-03-09 21:45:00
353,0.156827,0.662067,,0.07213,,2022-03-09 21:53:00
354,-0.047194,-0.206722,,0.0373,,2022-03-09 22:08:00
355,-0.120195,-0.148708,,0.730241,,2022-03-09 22:30:00
356,0.292193,0.065383,,0.014689,,2022-03-09 23:09:00
357,0.033927,,0.007511,,0.09439,2022-03-09 23:30:00
358,-0.414247,-0.363488,,0.099849,,2022-03-09 23:50:00
359,0.050069,0.008078,0.00167,0.118035,0.05918,2022-03-10 00:08:00
360,0.011333,0.002139,,0.488654,,2022-03-10 00:28:00
361,-0.306643,-0.319485,,0.656803,,2022-03-10 00:30:00
362,-0.044877,-0.047606,,0.567058,,2022-03-10 02:12:00
363,0.025304,,0.03338,,0.895116,2022-03-10 02:20:00
364,-0.147358,,0.021887,,0.070977,2022-03-10 02:35:00
365,0.030227,0.04138,0.002447,0.753867,0.300946,2022-03-10 02:45:00
366,-0.201179,-0.00711,,0.312502,,2022-03-10 02:51:00
367,0.007719,0.008437,0.007719,0.215223,0.317937,2022-03-10 03:29:00
368,0.12713,0.084752,0.001481,0.277748,0.070809,2022-03-10 03:56:00
369,-0.066924,-0.048859,0.000643,0.48946,0.037487,2022-03-10 03:58:00
370,-0.003645,-0.009417,,0.615186,,2022-03-10 04:10:00
371,0.018363,,0.024568,,0.21803,2022-03-10 04:15:00
372,-0.046901,-0.057593,,0.237784,,2022-03-10 04:33:00
373,0.065311,0.012659,0.012659,0.210823,0.210823,2022-03-10 05:06:00
